Headline,Sentiment
"צה""ל: ביממה האחרונה הותקפו כ-220 מטרות חיזבאללה בלבנון",Positive
דיווחים בלבנון: גל התקיפות נמשך,Positive
"הירי לגליל התחתון: זוהו כ-25 שיגורים, צה""ל תקף את המשגר שממנו נורו הרקטות",Positive
"דיווחים בלבנון: תקיפות צה""ל בדרום המדינה נמשכות",Positive
"דיווח: התקיפה בדאחייה - באמצעות 3 טילים, לאזור שבו חוסל איברהים עקיל",Positive
"דיווח בלבנון: צה""ל תוקף גם בעומק המדינה, במקביל להפצצה בדאחייה",Positive
יעד החיסול בדאחייה - מפקד היחידה האווירית של חיזבאללה,Positive
"צה""ל: תקפנו באופן ממוקד בדאחייה",Positive
"צה""ל השלים תרגיל חטיבתי - המדמה תמרון בלבנון",Positive
"צה""ל ושב""כ חיסלו בעזה מחבלים שלקחו חלק ב-7/10",Positive
"דיווח בלבנון: 3 הרוגים ו-17 פצועים בתקיפות צה""ל באזור צור",Positive
"צה""ל: מטוסי קרב תקפו תשתיות בגבול לבנון-סוריה",Positive
"דיווח בלבנון: נפגעים בתקיפת צה""ל במעבר גבול עם סוריה",Positive
"צה""ל: תוקפים מטרות חיזבאללה בלבנון",Positive
"דיווח בלבנון: צה""ל תקף 4 מעברי גבול עם סוריה",Positive
"צה""ל: איתרנו בחצר בית ליד ג'נין בור עם תשתית חפורה, ללא פתח יציאה",Positive
"דיווח: צה""ל תקף גם בגבול לבנון-סוריה",Positive
"צה""ל: כ-45 רקטות שוגרו במטח לעכו",Positive
"דיווחים בלבנון: עשרות הרוגים בתקיפות צה""ל הלילה בעומק המדינה",Positive
"דיווחים בלבנון: צה""ל ממשיך לתקוף בדרום המדינה",Positive
"עכשיוצה""ל: כ-25 שיגורים במטח לגליל התחתון. מד""א: פצוע מרסיסים בכפר מנדא",Positive
"השר זוהר על הפסקת האש בצפון: ""שגיאה חמורה שמסכנת הישגים ביטחוניים""",Positive
"דיווח בלבנון: צה""ל ביצע הלילה יותר מ-150 תקיפות באזור אל-בקאע",Positive
"עכשיוצה""ל תקף בית ספר בצפון רצועת עזה. הפלסטינים: 14 נהרגו",Positive
"דובר צה""ל: ""מתמקדים בצפון, אך פועלים מסביב לשעון גם בעזה""",Positive
"צה""ל על האזעקות באילת: כטב""ם אחד יורט, אחר התפוצץ בנמל אילת",Positive
"לבנון: לפחות 72 הרוגים בתקיפות צה""ל ביממה האחרונה",Positive
"כוח צה""ל ירה לעבר שתי דמויות חשודות בגבול לבנון, הנסיבות בבדיקה",Positive
"דובר צה""ל: ""בימים האחרונים תקפנו יותר מ-2,000 יעדי חיזבאללה""",Positive
"צה""ל: האזעקה בעוטף - שווא",Positive
שר הבריאות הלבנוני: 51 נהרגו מהבוקר בתקיפות ישראליות,Positive
"צה""ל: חיסלנו 40 מחבלים ברצועת עזה ביממה האחרונה",Positive
"בעקבות תקיפות צה""ל: 90,530 עקורים חדשים בלבנון",Positive
דיווח בלבנון על תקיפות בעומק המדינה,Positive
"צה""ל: תקפנו מהבוקר כ-280 מטרות חיזבאללה",Positive
"צה""ל תקף 60 מטרות המשמשות את מטה המודיעין של חיזבאללה",Positive
"צה""ל: שתי חטיבות מילואים יגויסו למשימות מבצעיות בצפון",Positive
לבנון: לפחות 22 הרוגים היום בתקיפות במדינה,Positive
"דיווח בלבנון: צה""ל תקף הלילה באזור  אל-בקאע",Positive
"צה""ל: התחלנו לתקוף בא-נבטיה, ""פרטים נוספים בהמשך""",Positive
לבנון: לפחות 10 הרוגים היום בתקיפות במדינה,Positive
"מהבוקר: צה""ל תקף יותר מ-100 מטרות בלבנון",Positive
"משרד הבריאות בלבנון: 3 הרוגים ו-9 פצועים בתקיפת צה""ל",Positive
"צה""ל: כ-40 שיגורים נורו מלבנון במטח לצפת, רקטה פגעה בדיור מוגן",Positive
"צה""ל: תוקפים ""באופן רחב"" בעומק לבנון ובדרומה",Positive
"חמינאי טוען: ""חיזבאללה יציב, למרות החיסולים""",Positive
"לבנון: לפחות 72 הרוגים בתקיפות צה""ל ביממה החולפת",Positive
"דובר צה""ל: האזעקות במירון - זיהוי שווא",Positive
"צה""ל השמיד גם את המשגר שממנו נורה המטח לחוף הכרמל",Positive
"דובר צה""ל: ההתרעה בטבריה - זיהוי שווא",Positive
"דיווחים בלבנון: הרוגים ופצועים בתקיפות ישראליות, בהם צלם עיתון חיזבאללה",Positive
"צה""ל: כ-5 שיגורים זוהו מלבנון לאזור זכרון יעקב, חלקם יורטו",Positive
"צה""ל: כטב""ם חדר לרמת הגולן מסוריה - ויורט על ידי מטוסי קרב",Positive
"עכשיוצה""ל על האזעקות באילת: כטב""ם אחד יורט, אחר התפוצץ בנמל אילת",Positive
"מד""א: ""לא התקבלו דיווחים על נפגעים בירי לזכרון יעקב"". צה""ל: ""הפרטים בבדיקה""",Positive
דיווחים: תקיפות בדרום לבנון ובאזור אל-בקאע,Positive
"צה""ל: תקפנו את המשגר שממנו נורה הטיל לגוש דן",Positive
"צה""ל אחרי הירי למרכז: ""אין שינוי בהנחיות פיקוד העורף, הלימודים יתקיימו כסדרם""",Positive
"צה""ל: האזעקות בגוש דן והשרון - בעקבות שיגור של טיל קרקע-קרקע מלבנון",Positive
"אזעקות נוספות בשורת יישובים בשרון. צה""ל: הפרטים בבדיקה",Positive
"דיווח: צה""ל שוב תקף בבקעת הלבנון",Positive
"דיווחים בלבנון: צה""ל תוקף באל-בקאע שבעומק המדינה",Positive
"צה""ל: ההתרעות באצבע הגליל - זיהוי שווא",Positive
"חיזבאללה מאשר: איברהים קובייסי נהרג בתקיפת צה""ל בביירות",Positive
"עכשיומהבוקר: צה""ל תקף יותר מ-100 מטרות בלבנון",Positive
"צה""ל: כטב""ם חדר לערבה ממזרח ו""נפל במרחב"", אין נפגעים",Positive
"דיווח: צה""ל תקף מחסן נשק של חיזבאללה מדרום לביירות",Positive
דיווח בלבנון על פיצוצים מדרום לביירות,Positive
לבנון: לפחות 569 נהרגו מאתמול בתקיפות הישראליות במדינה,Positive
"דובר צה""ל על המצב בצפון: ""שואפים למערכה קצרה ככל הניתן""",Positive
"דובר צה""ל: ""ראש מערך הטילים פיקד הבוקר על הירי לחיפה""",Positive
"תושבת נהריה דיווחה על ""מצנחים"", כוחות צה""ל הוקפצו לעיר",Positive
עשרות מטרות הושמדו בתקיפות בלבנון,Positive
דיווח: אלפים נמלטו מלבנון לסוריה עקב התקיפות הישראליות,Positive
הוארך מעצר שלושת החשודים בניסיון החיסול אתמול בקריית מלאכי,Positive
"צה""ל: ""פתחנו בגל תקיפות נרחב של מטרות טרור בלבנון""",Positive
"צה""ל: ראש מערך הטילים שחוסל תכנן את פיגוע החטיפה בשנת 2000 בהר דב",Positive
"צה""ל מאשר: ראש מערך הטילים בחיזבאללה חוסל לצד מפקדים מרכזיים נוספים",Positive
"הרצוג בריאיון ל-CNBC: ""איראן מובילה את המזרח התיכון לעבר תהום""",Positive
"גלנט נועד עם משפחות חטופים ומפקד מנהלת השבויים בצה""ל",Positive
רויטרס: ראש מערך הטילים בחיזבאללה חוסל בדאחייה,Positive
"צה""ל: הושלם גל תקיפה נוסף בלבנון, יורטה מטרה אווירית בגליל המערבי",Positive
"צה""ל: הפצוע במטח - חייל מילואים שהמתין בצומת אליקים",Positive
"דיווחים: נפגעים בתקיפת צה""ל בביירות - שכוונה למפקד חיזבאללה",Positive
"בכיר בחיל האוויר על התקיפות בלבנון: ""פעולות כמו שלא היו אף פעם""",Positive
"דובר צה""ל: ביממה האחרונה חיל האוויר תקף כ-1,500 מטרות חיזבאללה בלבנון",Positive
דיווחים בלבנון: תקיפות בדרום המדינה,Positive
"צה""ל: החל גל תקיפות נוסף בלבנון",Positive
"מקורות ביטחוניים לרויטרס: לפחות הרוג אחד בתקיפת צה""ל בדאחייה",Positive
"צה""ל: תקפנו באופן ממוקד בביירות",Positive
"משרד הבריאות של לבנון עדכן: 558 הרוגים ו-1,835 פצועים מתקיפות צה""ל",Positive
"צה""ל: החל גל תקיפות נוסף בלבנון",Positive
"דיווח: כתב רשת ""אל-מיאדין"", המזוהה עם חיזבאללה, נהרג בתקיפות צה""ל בלבנון",Positive
"דובר צה""ל בערבית לתושבי כפרים בלבנון: ""התקיפות נמשכות, תתרחקו""",Positive
"דיווחים לבנוניים: נמשכות תקיפות צה""ל בדרום המדינה",Positive
"צה""ל השלים גל תקיפה שני של מטרות טרור של חיזבאללה בלבנון",Positive
"רוסיה על תקיפות צה""ל בלבנון: ""עלולות לערער את המצב במזרח התיכון""",Positive
"דיווחים בלבנון: תקיפות בדרום המדינה, תושבים קיבלו שיחות מצה""ל",Positive
דיווח: התחדשו התקיפות הישראליות בלבנון,Positive
"בוגי יעלון: ""צה""ל במיטבו - צריך להגדיר את מצב הסיום בצפון ובדרום""",Positive
דיווח: מדינות בעולם העבירו מסר ללבנון בשם ישראל - תפסיקו את התמיכה בעזה,Positive
"צה""ל תקף מחבלי חיזבאללה שירו הלילה רקטות לעמק יזרעאל",Positive
"דיווח בלבנון: תקיפות בעומק ובדרום המדינה, לפחות 10 הרוגים",Positive
"בשעות הבוקר: צה""ל יקיים תרגיל בחטיבת עציון, תורגש תנועה ערה של כלי רכב",Positive
"דיווח לבנוני: צה""ל תקף הלילה באל-בקאע",Positive
"עכשיומקורות ביטחוניים לרויטרס: לפחות הרוג אחד בתקיפת צה""ל בדאחייה",Positive
"עכשיודיווחים: נפגעים בתקיפת צה""ל בביירות - שכוונה למפקד חיזבאללה",Positive
"צה""ל: כ-20 שיגורים חצו מלבנון, חלקם יורטו",Positive
"צה""ל: תקפנו כ-1,600 מטרות טרור של חיזבאללה בלבנון",Positive
"עכשיודובר צה""ל: ביממה האחרונה חיל האוויר תקף כ-1,500 מטרות חיזבאללה בלבנון",Positive
"עכשיוצה""ל: תקפנו באופן ממוקד בביירות",Positive
"עכשיוצה""ל: הושלם גל תקיפה נוסף בלבנון, יורטה מטרה אווירית בגליל המערבי",Positive
"עכשיוצה""ל: הפצוע במטח - חייל מילואים שהמתין בצומת אליקים",Positive
"חמאס: מפקד משורותינו נהרג בתקיפת צה""ל בדרום לבנון",Positive
משרד הבריאות בלבנון: מספר ההרוגים בתקיפות במדינה עלה ל-492,Positive
"צה""ל ממשיך לתקוף בלבנון",Positive
חיזבאללה בהודעה רשמית: עלי כרכי לא חוסל,Positive
עכשיודיווחים בלבנון: תקיפות בדרום המדינה,Positive
"דיווחים לבנוניים: ממשיכות תקיפות צה""ל בדרום המדינה",Positive
גורם בחיזבאללה מכחיש את חיסולו של כרכי בדאחייה,Positive
משרד הבריאות של לבנון: עלה ל-356 מניין ההרוגים בתקיפות ברחבי המדינה,Positive
דיווח: נמשכות התקיפות הישראליות במזרח לבנון,Positive
"צה""ל: תקפנו כ-1,300 מטרות היום בלבנון",Positive
"דובר צה""ל: ""תקפנו טילים לטווח של מאות קילומטרים - שאוחסנו בעליית גג""",Positive
דיווח בלבנון: עלה ל-325 מניין ההרוגים בתקיפות במדינה,Positive
"צה""ל: 5 שיגורים במטח לחיפה, חלקם יורטו",Positive
"צה""ל: השתמשנו ביותר מ-1,400 חימושים ב-650 גיחות בלבנון ביממה האחרונה",Positive
גל תקיפות נוסף במזרח לבנון,Positive
דיווחים: כרכי נפצע בניסיון החיסול בדאחייה,Positive
"בכיר ביטחוני אחרי ניסיון החיסול בביירות: ""זה רק הפרומו""",Positive
"דובר צה""ל ימסור עדכון לתקשורת ב-20:25",Positive
"פצוע בינוני משברי יירוט בגליל העליון; צה""ל: זוהו כ-25 שיגורים",Positive
"דיווח ערבי: ""עלי כרכי חוסל בתקיפה בדאחייה""",Positive
דיווח: כרכי יועד להיות יורשו של עקיל שחוסל ביום שישי,Positive
"בימים הקרובים: צה""ל יציג חלופות לחלוקת הסיוע ההומניטרי בצפון הרצועה",Positive
דיווח על תקיפות ארטילריה בדרום לבנון,Positive
"חיזבאללה הודיע על מות פעיל נוסף, משרד הבריאות בלבנון: ""3 הרוגים בתקיפות""",Positive
הרצוג: המחוסלים בדאחייה התכנסו לתכנון מתקפה דומה ל-7/10,Positive
"צה""ל: 150 רקטות, טילים וכטב""מים שוגרו מהלילה לישראל, אחוזי היירוט היו גבוהים",Positive
"צה""ל מאשר: תקפנו מחבלים ששהו במבנה שהיה בעבר בית ספר ברצועה",Positive
"כוח צה""ל ירה לעבר חשוד שיידה אבנים בשכם. הפלסטינים: 2 נערים נפצעו בחילופי אש",Positive
"גורם צבאי: ""הפעולות בלבנון מנעו בוקר קשה יותר, פנינו להעצים את התקיפות""",Positive
"כטב""ם שהגיע מעיראק יורט בדרום הגולן, צה""ל השלים סבב תקיפות נוסף בדרום לבנון",Positive
דיווחים בלבנון: תקיפות בדרום המדינה,Positive
"בעקבות ההסלמה: קו הסיוע של עמותת נט""ל תוגבר",Positive
"דובר צה""ל בערבית: חיזבאללה שיגר כ-115 רקטות לעבר אזורים אזרחיים בצפון",Positive
"צה""ל תוקף בלבנון, אחרי המטחים לקריות ולעמק יזרעאל",Positive
"אל-ג'זירה: צה""ל פשט על משרדינו ברמאללה והורה על סגירתם ל-45 ימים",Positive
"צה""ל: 85 רקטות שוגרו תוך חצי שעה לקריות ולאזורים אחרים בצפון",Positive
"צה""ל: יורט כלי טיס שחצה מעיראק לדרום הגולן, האזעקות בדוב""ב - שווא",Positive
"דיווח: כוחות צה""ל סגרו את משרדי ערוץ אל-ג'זירה ברמאללה",Positive
חיזבאללה: ירינו עשרות טילים לעבר בסיס רמת דוד. דיווח: תקיפות בדרום לבנון,Positive
"דובר צה""ל: התרעות הופעלו בצפון הארץ - הפרטים בבדיקה",Positive
"צה""ל: כ-290 מטרות טרור הותקפו בדרום לבנון בשעות האחרונות",Positive
"צה""ל: אין שינוי בהנחיות פיקוד העורף",Positive
דיווח: גל תקיפות בדרום לבנון,Positive
"צה""ל תקף מבנים שבהם שהו מחבלי חיזבאללה בדרום לבנון",Positive
"צה""ל: האזעקה בגליל המערבי - זיהוי שווא",Positive
"בשל המצב הביטחוני: צה""ל הנחה לבטל הופעה של חנן בן ארי בגליל המערבי",Positive
"צה""ל תקף מחבלים שפעלו במתחם ששימש בתור בית ספר בעזה",Positive
"הפלסטינים: חילופי אש בין אנשי הג'יהאד האיסלאמי לכוחות צה""ל בג'נין",Positive
"צה""ל: הכטב""ם שיורט לפנות בוקר באזור הכינרת שוגר מעיראק",Positive
"צה""ל: האזעקות האחרונות בצפון - זיהוי שווא",Positive
"צה""ל תקף מבנים צבאיים בכמה אזורים בדרום לבנון",Positive
"צה""ל: חיסלנו את אחראי היחידה הרקטית של רפיח בג'יהאד האיסלאמי",Positive
"צה""ל: האזעקה בעוטף - שווא",Positive
חמאס: 35 פלסטינים נהרגו בתקיפות ישראליות מהבוקר,Positive
הממשלה תעביר למולדובה 700 אלף שקל על סיוע לחסידי ברסלב שטסים דרכה לאומן,Positive
"48 מחסניות, חרמוניות וערכת פריצה קרה נגנבו מבסיס בדרום. צה""ל: נפתחה חקירה",Positive
"צה""ל תקף יעדי חיזבאללה בדרום לבנון",Positive
"צה""ל תקף מחסני אמל""ח בדרום לבנון",Positive
"צה""ל: נפילות בשטחים פתוחים בגליל העליון, מטוסי קרב תקפו בדרום לבנון",Positive
"גנץ: ""במקום שרה""מ יתעסק בניצחון על חמאס - הוא מתעסק בקומבינות פוליטיות""",Positive
"צה""ל על העימותים ליד יריחו: פצועים משני הצדדים, נעצרו כמה פלסטינים",Positive
"צה""ל תוקף בדרום לבנון",Positive
"צה""ל: מטרה אווירית חשודה חצתה מלבנון והתפוצצה בשטח פתוח, אין נפגעים",Positive
"מטה משפחות החטופים: מוחים על כך שתמונות יקירינו לא מוצבות בבסיסי צה""ל",Positive
דיווח בלבנון: תקיפות ארטילריה בדרום המדינה,Positive
"אישום: צעיר ו-2 נערים תקפו פלסטינים בשומרון וסיכנו את חיילי צה""ל כשנמלטו",Positive
דיווח בלבנון: תקיפות ארטילריה בדרום המדינה,Positive
"צה""ל אישר: תקפנו מחסני אמל""ח בעומק לבנון",Positive
"תקיפות בדרום לבנון, בין צור לצידון",Positive
"צה""ל: האזעקה ביראון - זיהוי שווא",Positive
"צה""ל: הותקף מתחם פיקוד של מחבלים ברצועה, שבעבר שימש כבית ספר",Positive
"צה""ל: בימים האחרונים חוסלו יותר מ-100 מחבלים ברפיח, הושמדו משגרים ואמל""ח",Positive
"אחרי הירי לאשקלון צה""ל פנה לתושבים בצפון הרצועה: ""הוזהרתם, זה אזור לחימה""",Positive
"מאות ליוו לקבורה את המפגינה האמריקנית-טורקית שנהרגה מאש צה""ל",Positive
"צה""ל: מטוסי קרב תקפו מבנים צבאיים של חיזבאללה בדרום לבנון",Positive
"צה""ל תקף מחבלים בבית ספר בצפון רצועת עזה, שהפך למתקן לייצור אמל""ח",Positive
"צה""ל: האזעקה באביבים - שווא",Positive
"צה""ל: זוהו כ-55 שיגורים מהבוקר, אין נפגעים. חיל האוויר תקף בלבנון",Positive
"הפלסטינים: 8 הרוגים בתקיפות צה""ל בצפון רצועת עזה",Positive
"צה""ל: האזעקות בגליל העליון - שווא",Positive
דיווחים בלבנון: תקיפות ישראליות בדרום המדינה במהלך הלילה,Positive
"צה""ל: מטרה אווירית חשודה שחצתה מלבנון יורטה בגליל המערבי",Positive
"צבא ארה""ב: חיסלנו 4 מנהיגי דאעש ועוד 14 פעילים בעיראק לפני כשבועיים",Positive
"צה""ל: 5 שיגורים חצו מלבנון במטח האחרון לגליל העליון",Positive
"הישג לסנגוריו של מיקי גנור, הנאשם בפרשת הצוללות: לא יורשע בסעיף התחמקות ממס",Positive
התקיפה בבקעת הלבנון: חוסלו שני פעילים בכוח רדואן של חיזבאללה,Positive
"צה""ל: 140 מטרות טרור הותקפו בלבנון השבוע, לוחמי גולנו תרגלו לחימה בשטח אויב",Positive
"צה""ל: מטרות אוויריות חשודות חצו מלבנון, אחת יורטה בגליל המערבי",Positive
ידונו בתמיכה באוקראינה: ראש ממשלת בריטניה ייפגש עם ביידן בוושינגטון,Positive
